Player Name,Rank,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
Kylian Mbappé,1,91,97,901,80,92,36,782,97,97,94,90,83,84,84,83,78,69,86,71,80,93,82,93,92,93,88,38,73,26,34,32,88,88,77,64
Alexia Putellas,2,91,82,90,91,92,72,78,81,82,91,86,89,90,91,91,88,89,94,91,89,90,89,92,94,92,92,78,74,60,81,64,84,85,78,70
Erling Haaland,3,91,89,932,661,80,454,881,82,94,96,94,86,90,84,74,47,62,77,53,77,76,72,94,82,79,87,43,83,38,47,29,93,76,93,87
Kevin De Bruyne,4,91,722,88,941,87,651,781,72,72,85,92,92,83,83,95,95,83,94,94,92,74,78,92,92,86,88,66,55,66,70,53,72,88,74,75
Aitana Bonmatí,5,90,81,84,83,91,75,73,82,80,91,69,89,62,70,90,67,67,91,87,76,93,86,91,91,91,85,88,54,70,81,67,75,80,75,60
Lionel Messi,6,90,801,872,90,94,331,64,87,74,89,83,90,86,75,92,83,93,91,90,93,91,95,88,93,96,96,40,60,20,35,24,71,70,68,44
Sam Kerr,7,90,85,88,74,90,42,85,86,84,92,85,85,92,71,79,70,68,78,67,76,90,82,89,91,90,91,24,93,44,39,30,95,87,88,70
Karim Benzema,8,90,791,88,83,87,39,78,78,79,91,87,81,88,85,90,75,73,89,76,82,77,72,92,91,87,90,39,90,43,24,18,85,82,82,63
Thibaut Courtois,9,90,851,89,761,933,46,901,42,52,14,57,17,12,27,44,14,20,33,35,19,63,45,88,23,13,66,15,13,20,18,16,68,38,70,23
Harry Kane,10,90,691,932,841,831,492,831,67,71,95,93,87,89,92,87,80,65,87,88,82,66,73,93,87,82,92,42,89,46,46,38,87,83,84,80
Caroline Graham Hansen,11,90,89,86,88,90,47,75,90,88,86,88,89,83,71,89,90,77,89,84,90,94,75,83,90,93,84,35,71,45,50,46,84,84,74,66
Robert Lewandowski,12,90,75,91,801,871,44,841,76,75,93,91,84,89,90,81,76,85,84,70,79,77,83,93,90,86,88,49,91,35,42,19,92,76,89,81
Mohamed Salah,13,89,891,872,811,882,45,761,89,89,92,82,84,83,81,84,80,69,84,77,84,89,91,93,86,88,90,55,59,38,43,41,80,87,75,63
Kadidiatou Diani,14,89,89,85,83,88,56,77,88,90,90,79,86,74,71,85,84,70,87,74,74,89,84,87,90,88,84,55,81,46,59,49,86,81,84,52
Mapi León,15,89,75,74,81,76,90,81,73,77,65,89,87,49,64,56,86,88,88,90,87,70,86,90,82,68,91,90,83,91,91,90,87,75,83,84
Rúben Dias,16,89,621,39,66,691,891,871,54,69,29,74,26,32,45,51,54,48,83,76,46,60,56,89,75,64,81,86,87,91,91,87,84,78,90,93
Vini Jr.,17,89,95,823,784,90,29,681,95,95,89,76,80,72,65,81,78,62,80,77,77,94,84,86,90,92,79,26,50,32,25,18,74,84,64,58
Rodri,18,89,58,731,802,801,852,84,54,62,64,91,82,59,62,82,63,61,89,90,65,65,64,89,88,79,85,84,81,88,87,78,80,89,83,83
Neymar Jr,19,89,861,83,85,93,37,61,88,85,83,79,81,86,91,90,83,87,85,81,88,93,83,88,94,95,93,37,63,35,32,29,72,78,51,63
