Positioning,Rank,Player Name,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Position,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Age,Att_Work_Rate,Def_Work_Rate,Age,Foot,Height,League,Nation,Team,Weight,Reflexes,Positioning2,Kicking,Handling,Diving
13,9,GK,851,90,901,46,933,761,89,Thibaut Courtois,42,52,14,57,17,12,27,44,14,20,33,35,19,63,45,88,23,13,66,15,13,20,18,16,68,38,70,23,31,Medium,Medium,31,Left,199CM,LALIGA EA SPORTS,Belgium,Real Madrid,96KG,,,,,
11,21,GK,86,89,861,47,911,892,85,Marc-André ter Stegen,45,50,14,67,10,14,25,70,18,12,61,63,18,39,43,85,30,21,70,22,11,25,13,10,72,35,78,43,31,Medium,Medium,31,Right,187CM,LALIGA EA SPORTS,Germany,FC Barcelona,85KG,,,,,
13,23,GK,86,89,90,562,89,85,85,Alisson,60,49,13,64,14,20,23,66,17,18,60,58,19,40,37,87,42,27,66,11,29,15,19,16,82,32,78,27,31,Medium,Medium,31,Right,193CM,Premier League,Brazil,Liverpool,91KG,,,,,
20,36,GK,861,88,862,64,862,912,82,Ederson,64,63,14,68,18,18,51,70,20,20,61,65,15,60,48,87,40,23,70,27,14,29,15,8,79,44,78,38,30,Medium,Medium,30,Left,188CM,Premier League,Brazil,Manchester City,86KG,,,,,
11,39,GK,851,88,861,463,872,78,90,Jan Oblak,42,53,11,59,12,13,11,67,13,14,43,40,13,64,48,85,30,12,68,24,15,27,14,18,72,42,78,36,30,Medium,Medium,30,Right,188CM,LALIGA EA SPORTS,Slovenia,Atlético de Madrid,87KG,,,,,
10,40,GK,87,88,89,42,90,84,82,Christiane Endler,46,35,15,63,17,8,13,69,15,11,31,35,17,39,42,83,22,15,45,15,13,15,11,12,60,35,46,21,32,Medium,Medium,32,Left,183CM,D1 Arkema,Chile,OL,73KG,,,,,
15,51,GK,85,87,85,51,89,872,82,Mike Maignan,50,53,15,65,20,16,15,65,18,16,65,61,38,41,56,85,40,31,68,25,17,23,16,19,75,39,78,35,28,Medium,Medium,28,Right,191CM,Serie A TIM,France,Milan,89KG,,,,,
10,55,GK,862,87,856,441,891,74,844,Gregor Kobel,38,52,10,56,10,10,12,59,13,12,39,33,13,37,29,85,34,24,66,14,13,15,15,15,71,30,81,24,26,Medium,Medium,26,Right,195CM,Bundesliga,Switzerland,Borussia Dortmund,88KG,,,,,
14,58,GK,86,87,87,56,89,84,82,Sandra Paños,54,58,11,63,17,17,27,34,16,25,23,18,22,54,69,82,20,11,56,19,20,22,18,14,72,41,64,19,31,Medium,Medium,31,Right,169CM,Liga F,Spain,FC Barcelona,65KG,,,,,
14,59,GK,90,87,832,52,89,79,821,Gianluigi Donnarumma,50,55,12,59,18,8,24,60,12,14,36,34,12,64,38,84,30,28,65,26,12,20,14,16,71,34,72,30,24,Medium,Medium,24,Right,196CM,Ligue 1 Uber Eats,Italy,Paris SG,90KG,,,,,
12,60,GK,843,87,883,497,844,901,853,Manuel Neuer,48,50,13,68,16,11,47,70,15,11,60,68,14,51,35,84,46,30,70,30,25,17,10,11,77,43,80,29,37,Medium,Medium,37,Right,193CM,Bundesliga,Germany,FC Bayern München,93KG,,,,,
10,63,GK,83,86,85,41,85,83,83,Mary Earps,44,36,10,62,13,12,26,68,13,12,31,29,14,29,40,86,20,12,35,14,7,11,15,14,64,38,63,31,30,Medium,Medium,30,Right,173CM,Barclays WSL,England,Manchester Utd,68KG,,,,,
14,98,GK,86,86,86,49,87,73,832,Wojciech Szczęsny,51,47,12,55,14,14,18,48,12,14,32,36,16,55,51,82,22,11,65,15,16,20,13,12,70,45,65,40,33,Medium,Medium,33,Right,195CM,Serie A TIM,Poland,Juventus,90KG,,,,,
10,101,GK,822,85,84,382,871,793,832,Yassine Bounou,38,37,14,59,19,13,24,62,15,19,39,44,12,47,29,81,12,20,57,12,14,20,18,15,66,43,69,25,32,Medium,Medium,32,Left,195CM,ROSHN Saudi League,Morocco,Al Hilal,78KG,,,,,
7,101,GK,85,85,86,51,84,76,82,Merle Frohms,45,59,8,57,7,7,18,31,9,10,28,29,11,61,44,80,20,8,44,18,10,6,13,11,67,29,70,20,28,Medium,Medium,28,Right,175CM,GPFBL,Germany,VfL Wolfsburg,60KG,,,,,
12,101,GK,832,85,841,58,85,82,83,Emiliano Martínez,59,57,16,62,16,13,42,66,22,20,57,59,22,49,49,82,38,17,62,13,26,11,20,20,77,40,70,37,31,Medium,Medium,31,Right,195CM,Premier League,Argentina,Aston Villa,88KG,,,,,
16,101,GK,845,85,843,54,872,75,804,Keylor Navas,54,53,15,56,13,11,25,64,11,15,40,37,21,60,61,80,30,24,63,22,11,28,14,14,73,39,75,32,37,Medium,Medium,37,Right,185CM,Ligue 1 Uber Eats,Costa Rica,Paris SG,80KG,,,,,
11,101,GK,832,85,844,61,852,882,80,André Onana,62,60,12,66,17,13,27,64,15,17,43,53,30,66,53,84,38,26,64,15,20,12,18,14,80,38,79,32,27,Medium,Medium,27,Right,190CM,Premier League,Cameroon,Manchester Utd,93KG,,,,,
15,101,GK,85,85,84,41,85,80,82,Kailen Sheridan,38,45,10,60,17,9,25,42,13,15,24,33,13,58,46,81,26,14,43,13,17,18,14,13,65,40,64,26,28,Medium,Medium,28,Right,176CM,NWSL,Canada,San Diego Wave,72KG,,,,,
12,101,GK,831,85,85,46,861,772,811,Kevin Trapp,43,50,13,58,13,12,17,46,13,12,25,12,14,42,37,83,24,10,64,22,11,15,14,10,69,45,75,30,33,Medium,Medium,33,Right,189CM,Bundesliga,Germany,Frankfurt,84KG,,,,,
11,101,GK,86,85,86,46,87,79,77,Manuela Zinsberger,48,42,18,59,25,12,52,69,31,24,23,15,19,46,62,81,36,11,56,10,6,20,13,16,71,22,78,26,28,Medium,Medium,28,Right,177CM,Barclays WSL,Austria,Arsenal,67KG,,,,,
9,147,GK,85,84,81,45,83,80,83,Ann-Katrin Berger,40,52,7,60,6,6,35,39,8,11,24,20,12,38,40,82,14,11,58,10,15,9,10,10,66,29,67,19,33,Medium,Medium,33,Right,180CM,Barclays WSL,Germany,Chelsea,63KG,,,,,
18,147,GK,85,84,81,42,89,74,79,Bella Bixby,41,43,25,56,15,7,27,37,12,10,29,28,11,57,44,79,22,13,39,9,8,13,15,12,64,39,67,27,28,Medium,Medium,28,Right,183CM,NWSL,United States,Portland Thorns,70KG,,,,,
14,147,GK,84,84,85,40,83,85,83,Jane Campbell,38,44,18,64,14,12,32,38,17,15,22,29,14,54,55,79,21,15,38,19,17,12,18,19,55,39,42,21,28,Medium,Medium,28,Right,173CM,NWSL,United States,Houston Dash,66KG,,,,,
15,147,GK,84,84,851,45,86,772,82,Koen Casteels,44,46,15,58,18,13,20,42,15,13,35,37,20,50,43,80,23,14,40,16,14,11,19,17,69,44,72,33,31,Medium,Medium,31,Left,197CM,Bundesliga,Belgium,VfL Wolfsburg,86KG,,,,,
11,147,GK,85,84,83,43,841,76,84,Péter Gulácsi,42,44,10,57,12,10,24,44,16,11,35,31,18,41,42,80,25,19,45,23,23,25,16,20,72,37,74,34,33,Medium,Medium,33,Right,191CM,Bundesliga,Hungary,RB Leipzig,86KG,,,,,
13,147,GK,85,84,84,41,85,75,83,Aubrey Kingsbury,37,47,8,56,5,7,11,35,10,12,22,29,10,53,45,78,23,14,50,13,11,13,14,11,51,23,35,23,32,Medium,Medium,32,Right,173CM,NWSL,United States,Washington Spirit,65KG,,,,,
14,147,GK,84,84,84,60,86,79,82,Chiamaka Nnadozie,59,62,11,59,9,7,13,55,12,13,29,22,14,48,42,79,21,17,57,23,12,22,13,10,69,36,61,35,23,Medium,Medium,23,Right,180CM,D1 Arkema,Nigeria,Paris FC,68KG,,,,,
13,147,GK,822,84,844,49,863,75,831,Nick Pope,50,47,14,56,15,14,22,50,11,12,32,52,13,36,42,80,25,15,63,23,11,19,15,14,71,37,75,36,31,Medium,Medium,31,Right,199CM,Premier League,England,Newcastle Utd,76KG,,,,,
18,147,GK,841,84,813,48,862,872,792,Aaron Ramsdale,47,50,14,65,15,16,25,65,15,16,56,57,17,53,49,83,36,18,65,24,15,20,16,15,65,35,59,35,25,Medium,Medium,25,Right,191CM,Premier League,England,Arsenal,77KG,,,,,
11,147,GK,841,84,861,42,862,801,782,Álex Remiro,40,46,13,60,11,15,24,35,12,17,36,29,14,69,40,79,26,19,55,20,13,14,17,18,68,42,73,34,28,Medium,Medium,28,Right,192CM,LALIGA EA SPORTS,Spain,Real Sociedad,79KG,,,,,
15,147,GK,78,84,842,50,90,831,792,Yann Sommer,48,54,13,62,12,8,24,64,13,13,40,36,12,55,58,82,25,15,54,21,10,9,19,12,67,45,68,38,35,Medium,Medium,35,Right,183CM,Serie A TIM,Switzerland,Inter,79KG,,,,,
15,229,GK,82,83,84,39,83,78,83,Adrianna Franch,37,41,12,59,14,12,32,40,17,15,26,32,14,56,59,80,25,16,54,23,16,17,19,20,61,40,56,27,33,Medium,Medium,33,Right,173CM,NWSL,United States,KC Current,70KG,,,,,
9,229,GK,853,83,813,601,862,704,803,Hugo Lloris,61,59,10,53,14,15,40,57,13,10,52,55,12,54,56,81,29,12,55,25,9,24,12,18,60,41,43,31,36,Medium,Medium,36,Left,188CM,Premier League,France,Spurs,82KG,,,,,
20,229,GK,834,83,836,44,865,722,807,Alex Meret,41,48,17,54,17,20,21,25,15,21,30,25,20,46,48,76,25,16,67,22,19,10,21,12,67,29,65,22,26,Medium,Medium,26,Left,190CM,Serie A TIM,Italy,Napoli FC,83KG,,,,,
13,229,GK,84,83,86,40,85,74,82,Casey Murphy,40,41,12,56,11,11,19,39,16,14,24,18,14,58,51,71,18,14,38,15,15,12,12,16,60,27,54,18,27,Medium,Medium,27,Right,183CM,NWSL,United States,NC Courage,70KG,,,,,
14,229,GK,85,83,87,46,82,83,81,Alyssa Naeher,45,48,19,62,14,12,42,39,17,15,28,31,14,57,56,70,26,16,56,21,16,18,19,20,62,39,54,25,35,Medium,Medium,35,Right,173CM,NWSL,United States,Chicago Red Stars,64KG,,,,,
10,229,GK,81,83,84,47,85,82,80,Pauline Peyraud-Magnin,51,40,11,62,11,9,12,31,13,15,29,25,17,58,44,81,22,15,38,19,11,15,14,15,57,35,43,24,31,Medium,Medium,31,Left,175CM,Calcio A Femminile,France,Juventus,63KG,,,,,
14,229,GK,842,83,841,49,85,77,79,Unai Simón,48,50,14,58,13,17,24,48,16,14,38,34,20,37,47,77,16,12,46,26,18,11,18,12,73,44,76,29,26,Medium,Medium,26,Right,190CM,LALIGA EA SPORTS,Spain,Athletic Club,89KG,,,,,
14,327,GK,811,82,812,31,853,832,742,Mark Flekken,28,36,16,62,11,14,23,43,14,12,39,42,19,34,38,82,34,12,39,12,11,15,13,20,63,28,72,32,30,Medium,Medium,30,Right,195CM,Premier League,Holland,Brentford,87KG,,,,,
15,327,GK,831,82,791,46,841,753,792,Jeremías Conan Ledesma,49,42,16,56,22,19,25,38,18,18,35,28,20,40,50,78,13,17,42,22,17,15,15,14,68,40,65,25,30,Medium,Medium,30,Right,186CM,LALIGA EA SPORTS,Argentina,Cádiz CF,83KG,,,,,
11,327,GK,80,82,803,56,895,71,76,Dominik Livaković,57,54,12,53,9,10,15,60,13,11,50,60,12,65,30,82,28,19,64,21,13,24,20,21,74,32,75,26,28,Medium,Medium,28,Right,187CM,Trendyol Süper Lig,Croatia,Fenerbahçe,79KG,,,,,
9,327,GK,84,82,80,63,86,71,771,Anthony Lopes,63,64,18,53,18,13,16,48,19,14,32,31,15,67,62,82,21,15,65,25,16,13,15,13,76,36,73,45,33,Medium,Medium,33,Left,184CM,Ligue 1 Uber Eats,Portugal,OL,81KG,,,,,
18,327,GK,804,82,802,353,863,807,772,Diogo Costa,33,39,6,60,9,8,14,64,13,10,50,55,10,42,35,81,30,18,44,18,11,19,13,11,61,28,63,23,24,Medium,Medium,24,Right,192CM,Liga Portugal,Portugal,FC Porto,84KG,,,,,
6,327,GK,804,82,814,34,835,81,793,Édouard Mendy,33,36,5,61,9,9,13,52,10,14,54,54,13,50,33,80,31,18,57,13,10,10,11,13,64,36,72,22,31,Medium,Medium,31,Right,197CM,ROSHN Saudi League,Senegal,Al Ahli,86KG,,,,,
18,327,GK,831,82,80,51,87,87,77,Jordan Pickford,56,44,19,65,13,20,45,69,17,16,58,60,18,57,55,77,40,14,65,24,15,21,20,12,72,42,70,45,29,Medium,Medium,29,Left,185CM,Premier League,England,Everton,77KG,,,,,
16,327,GK,836,82,795,42,856,809,795,Ivan Provedel,44,40,17,60,20,14,22,63,21,13,61,56,13,38,44,75,22,16,68,22,17,22,22,21,63,28,56,27,29,Medium,Medium,29,Right,192CM,Serie A TIM,Italy,Latium,84KG,,,,,
14,327,GK,84,82,84,61,80,77,77,Misa,59,63,17,58,19,17,29,27,20,21,33,27,18,56,55,77,18,22,34,21,15,14,18,19,74,30,56,31,24,Medium,Medium,24,Left,173CM,Liga F,Spain,Real Madrid CF,66KG,,,,,
8,327,GK,834,82,835,346,855,795,813,Guglielmo Vicario,34,35,6,59,5,7,13,69,11,10,27,27,14,40,33,64,14,12,55,15,11,23,11,13,57,18,53,17,27,Medium,Medium,27,Right,188CM,Premier League,Italy,Spurs,76KG,,,,,
15,451,GK,801,81,781,34,842,85,78,Kepa,34,33,11,64,14,18,24,61,25,19,60,60,25,41,39,71,34,15,63,21,18,19,18,16,58,37,51,18,29,Medium,Medium,29,Right,189CM,LALIGA EA SPORTS,Spain,Real Madrid,85KG,,,,,
20,451,GK,821,81,811,31,841,772,76,Rui Silva,31,30,20,58,14,20,30,55,13,20,29,30,19,34,24,73,24,18,49,27,14,25,10,19,62,27,66,19,29,Medium,Medium,29,Right,191CM,LALIGA EA SPORTS,Portugal,Real Betis,91KG,,,,,
13,451,GK,793,81,791,55,794,77,80,Rui Patrício,53,57,12,58,11,16,32,64,12,16,34,32,10,61,54,76,25,20,66,23,11,14,13,11,73,45,77,37,35,Medium,Medium,35,Left,190CM,Serie A TIM,Portugal,Roma FC,84KG,,,,,
9,451,GK,831,81,793,40,861,654,77,Lukáš Hrádecký,38,44,11,49,14,9,20,53,11,15,30,33,11,43,39,81,20,10,45,18,11,10,10,13,59,34,55,31,34,Medium,Medium,34,Right,192CM,Bundesliga,Finland,Leverkusen,85KG,,,,,
7,451,GK,82,81,823,541,831,731,791,Bernd Leno,55,52,9,55,14,10,23,58,9,8,50,48,9,52,44,75,35,16,63,25,13,27,15,18,71,44,70,28,31,Medium,Medium,31,Right,189CM,Premier League,Germany,Fulham,83KG,,,,,
16,451,GK,83,81,82,50,86,70,73,Guillermo Ochoa,50,50,12,53,11,16,16,50,15,17,37,37,14,57,43,70,20,10,60,23,19,21,10,13,68,38,60,19,38,Medium,Medium,38,Right,185CM,Serie A TIM,Mexico,Salernitana,78KG,,,,,
12,451,GK,811,81,801,54,812,80,781,Gerónimo Rulli,56,52,15,60,17,16,24,62,12,20,36,30,19,58,50,79,15,14,61,21,12,15,13,17,73,42,73,26,31,Medium,Medium,31,Right,189CM,Eredivisie,Argentina,Ajax,84KG,,,,,
11,451,GK,794,81,798,53,839,793,818,Brice Samba,49,60,9,59,10,13,15,48,10,13,48,36,14,39,54,78,22,12,66,18,15,12,14,12,72,37,75,26,29,Medium,Medium,29,Left,187CM,Ligue 1 Uber Eats,France,RC Lens,90KG,,,,,
13,451,GK,783,81,801,45,806,79,771,Kasper Schmeichel,42,49,12,59,14,15,26,59,18,15,40,49,13,60,47,81,40,12,65,20,16,14,14,13,65,34,63,35,37,Medium,Medium,37,Right,189CM,1A Pro League,Denmark,RSC Anderlecht,89KG,,,,,
14,451,GK,84,81,78,43,84,661,771,Odisseas Vlachodimos,42,44,12,50,16,14,18,46,15,13,27,24,17,64,38,81,23,13,56,23,13,17,14,12,72,39,68,32,29,Medium,Medium,29,Right,190CM,Premier League,Greece,Nott'm Forest,81KG,,,,,
11,576,GK,781,80,83,55,782,78,802,Adán,56,54,11,59,12,15,25,42,12,12,34,43,11,55,51,76,15,12,63,20,23,20,14,18,78,32,77,41,36,Medium,Medium,36,Left,190CM,Liga Portugal,Spain,Sporting CP,94KG,,,,,
9,576,GK,791,80,791,44,803,77,781,Edgar Badia,45,43,12,58,12,16,30,45,14,13,30,32,19,53,41,76,18,14,56,22,20,26,12,15,64,35,55,42,31,Medium,Medium,31,Right,180CM,LALIGA HYPERMOTION,Spain,Elche CF,70KG,,,,,
10,576,GK,803,80,781,3910,795,763,802,Oliver Baumann,37,41,11,57,13,11,22,41,14,11,30,25,12,45,43,82,17,19,52,21,16,15,18,14,65,39,69,32,33,Medium,Medium,33,Right,187CM,Bundesliga,Germany,TSG Hoffenheim,82KG,,,,,
