Positioning,Rank,Player Name,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Position,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Age,Att_Work_Rate,Def_Work_Rate,Age.1,Foot,Height,League,Nation,Team,Weight
93,1,Kylian Mbappé,91,97,90,80,92,36,78,ST,97,97,94,90,83,84,84,83,78,69,86,71,80,93,82,93,92,93,88,38,73,26,34,32,88,88,77,64,24,High,Low,24,Right,18,Ligue 1 Uber Eats,France,Paris SG,75
91,2,Alexia Putellas,91,82,90,91,92,72,78,CM,81,82,91,86,89,90,91,91,88,89,94,91,89,90,89,92,94,92,92,78,74,60,81,64,84,85,78,70,29,High,Medium,29,Left,17,Liga F,Spain,FC Barcelona,67
96,3,Erling Haaland,91,89,93,66,80,45,88,ST,82,94,96,94,86,90,84,74,47,62,77,53,77,76,72,94,82,79,87,43,83,38,47,29,93,76,93,87,23,High,Medium,23,Left,19,Premier League,Norway,Manchester City,94
88,4,Kevin De Bruyne,91,72,88,94,87,65,78,CM,72,72,85,92,92,83,83,95,95,83,94,94,92,74,78,92,92,86,88,66,55,66,70,53,72,88,74,75,32,High,Medium,32,Right,18,Premier League,Belgium,Manchester City,75
91,5,Aitana Bonmatí,90,81,84,83,91,75,73,CM,82,80,91,69,89,62,70,90,67,67,91,87,76,93,86,91,91,91,85,88,54,70,81,67,75,80,75,60,25,High,High,25,Right,16,Liga F,Spain,FC Barcelona,51
91,6,Lionel Messi,90,80,87,90,94,33,64,CF,87,74,89,83,90,86,75,92,83,93,91,90,93,91,95,88,93,96,96,40,60,20,35,24,71,70,68,44,36,Low,Low,36,Left,16,MLS,Argentina,Inter Miami CF,67
92,7,Sam Kerr,90,85,88,74,90,42,85,ST,86,84,92,85,85,92,71,79,70,68,78,67,76,90,82,89,91,90,91,24,93,44,39,30,95,87,88,70,30,High,High,30,Right,16,Barclays WSL,Australia,Chelsea,66
92,8,Karim Benzema,90,79,88,83,87,39,78,CF,78,79,91,87,81,88,85,90,75,73,89,76,82,77,72,92,91,87,90,39,90,43,24,18,85,82,82,63,35,Medium,Medium,35,Right,18,ROSHN Saudi League,France,Al Ittihad,81
13,9,Thibaut Courtois,90,85,89,76,93,46,90,GK,42,52,14,57,17,12,27,44,14,20,33,35,19,63,45,88,23,13,66,15,13,20,18,16,68,38,70,23,31,Medium,Medium,31,Left,19,LALIGA EA SPORTS,Belgium,Real Madrid,96
94,10,Harry Kane,90,69,93,84,83,49,83,ST,67,71,95,93,87,89,92,87,80,65,87,88,82,66,73,93,87,82,92,42,89,46,46,38,87,83,84,80,30,High,High,30,Right,18,Bundesliga,England,FC Bayern München,89
87,11,Caroline Graham Hansen,90,89,86,88,90,47,75,RW,90,88,86,88,89,83,71,89,90,77,89,84,90,94,75,83,90,93,84,35,71,45,50,46,84,84,74,66,28,High,Medium,28,Right,17,Liga F,Norway,FC Barcelona,66
94,12,Robert Lewandowski,90,75,91,80,87,44,84,ST,76,75,93,91,84,89,90,81,76,85,84,70,79,77,83,93,90,86,88,49,91,35,42,19,92,76,89,81,35,High,Medium,35,Right,18,LALIGA EA SPORTS,Poland,FC Barcelona,81
92,13,Mohamed Salah,89,89,87,81,88,45,76,RW,89,89,92,82,84,83,81,84,80,69,84,77,84,89,91,93,86,88,90,55,59,38,43,41,80,87,75,63,31,High,Medium,31,Left,17,Premier League,Egypt,Liverpool,71
91,14,Kadidiatou Diani,89,89,85,83,88,56,77,RW,88,90,90,79,86,74,71,85,84,70,87,74,74,89,84,87,90,88,84,55,81,46,59,49,86,81,84,52,28,High,High,28,Right,16,D1 Arkema,France,OL,64
70,15,Mapi León,89,75,74,81,76,90,81,CB,73,77,65,89,87,49,64,56,86,88,88,90,87,70,86,90,82,68,91,90,83,91,91,90,87,75,83,84,28,High,High,28,Left,16,Liga F,Spain,FC Barcelona,59
39,16,Rúben Dias,89,62,39,66,69,89,87,CB,54,69,29,74,26,32,45,51,54,48,83,76,46,60,56,89,75,64,81,86,87,91,91,87,84,78,90,93,26,Medium,High,26,Right,18,Premier League,Portugal,Manchester City,82
87,17,Vini Jr.,89,95,82,78,90,29,68,LW,95,95,89,76,80,72,65,81,78,62,80,77,77,94,84,86,90,92,79,26,50,32,25,18,74,84,64,58,23,High,High,23,Right,17,LALIGA EA SPORTS,Brazil,Real Madrid,73
75,18,Rodri,89,58,73,80,80,85,84,CDM,54,62,64,91,82,59,62,82,63,61,89,90,65,65,64,89,88,79,85,84,81,88,87,78,80,89,83,83,27,Medium,High,27,Right,19,Premier League,Spain,Manchester City,82
86,19,Neymar Jr,89,86,83,85,93,37,61,LW,88,85,83,79,81,86,91,90,83,87,85,81,88,93,83,88,94,95,93,37,63,35,32,29,72,78,51,63,31,High,Medium,31,Right,17,ROSHN Saudi League,Brazil,Al Hilal,68
